state,action
[ 1  0  0  0  0  0 -1  0  1],-4.927376931489001
[ 1  1 -1  1  0  0 -1  0  0],-8.1
[ 1  1 -1  0  1  0 -1  0  0],-4.965731559900001
[ 1  1 -1  0  0  1 -1  0  0],4.567687565310001
[ 1  1 -1  0  0  0 -1  1  0],0
[ 1  1 -1  0  0  0 -1  0  1],-7.5685590000000005
[ 1  1 -1  0  0  0 -1  0  0],2.1681953648100016
[ 1  0  0  0  0  0 -1  0  0],5.319264661447175
[-1  1  1  0  0  0  0  0  0],-6.005571453229216
[-1  1  0  1  0  0  0  0  0],-0.6254319876614649
[-1  1  0  0  1  0  0  0  0],6.1123283898523
[-1  1  0  0  0  1  0  0  0],-0.22876792454961012
[-1  1  0  0  0  0  1  0  0],-3.6066949165503908
[-1  1  0  0  0  0  0  1  0],-3.2580164764503907
[-1  1  0  0  0  0  0  0  1],-3.4867844010000004
[-1  1  1 -1  1  0  0  0  0],-7.5685590000000005
[-1  1  1 -1  0  1  0  0  0],-5.845851000000001
[-1  1  1 -1  0  0  1  0  0],6.1945294401
[-1  1  1 -1  0  0  0  1  0],-8.1
[-1  1  1 -1  0  0  0  0  1],-5.3144100000000005
[-1  1  1 -1  1 -1  1  0  0],8.991
[-1  1  1 -1  1 -1  0  1  0],8.1
[-1  1  1 -1  1 -1  0  0  1],-8.1
[-1  1  1 -1  1 -1  0  0  0],6.561
[-1  1  1 -1  0  0  0  0  0],4.3046721
[-1  1  0  0  0  0  0  0  0],5.228000132056835
[ 0  1 -1  1  0  0  0  0  0],3.835462841100001
[ 0  1 -1  0  1  0  0  0  0],-0.0025164471700460968
[ 0  1 -1  0  0  1  0  0  0],-5.06276528299543
[ 0  1 -1  0  0  0  1  0  0],-0.25416116417461687
[ 0  1 -1  0  0  0  0  1  0],5.813270835235496
[ 0  1 -1  0  0  0  0  0  1],-0.6028650226787137
[ 1  1 -1 -1  1  1 -1  0  0],7.073479710000001
[ 1  1 -1 -1  1  0 -1  1  0],0
[ 1  1 -1 -1  1  0 -1  0  1],8.1
[ 1  1 -1 -1  1  1 -1 -1  1],8.991
[ 1  1 -1 -1  1  1 -1 -1  0],7.873200000000001
[ 1  1 -1 -1  1  0 -1  0  0],4.3046721
[ 0  1 -1  0  0  0  0  0  0],4.869534876314455
[ 0  1  1 -1  0  0  0  0  0],0
[ 0  1  0 -1  1  0  0  0  0],-0.012789343871195014
[ 0  1  0 -1  0  1  0  0  0],-3.835462841100001
[ 0  1  0 -1  0  0  1  0  0],-5.085642075450391
[ 0  1  0 -1  0  0  0  1  0],0
[ 0  1  0 -1  0  0  0  0  1],-0.37384291180045714
[ 1  1  1 -1  0 -1  0  0  0],8.91
[ 1  1  0 -1  1 -1  0  0  0],6.377292000000001
[ 1  1  0 -1  0 -1  1  0  0],0
[ 1  1  0 -1  0 -1  0  1  0],0
[ 1  1  0 -1  0 -1  0  0  1],-8.1
[ 1  1  0 -1  0 -1  0  0  0],6.561
[ 0  1  0 -1  0  0  0  0  0],4.735139310000001
[ 0  1  1  0 -1  0  0  0  0],0
[ 0  1  0  1 -1  0  0  0  0],-5.457808959724975
[ 0  1  0  0 -1  1  0  0  0],-3.405911192340392
[ 0  1  0  0 -1  0  1  0  0],-3.4867844010000004
[ 0  1  0  0 -1  0  0  1  0],-3.4867844010000004
[ 0  1  0  0 -1  0  0  0  1],-4.906358287271578
[ 1  1  1  0 -1 -1  0  0  0],8.91
[ 1  1  0  1 -1 -1  0  0  0],0
[ 1  1  0  0 -1 -1  1  0  0],0
[ 1  1  0  0 -1 -1  0  1  0],0
[ 1  1  0  0 -1 -1  0  0  1],-8.1
[ 1  1  0  0 -1 -1  0  0  0],6.561
[ 0  1  0  0 -1  0  0  0  0],4.587101636481001
[ 0  1  1  0  0 -1  0  0  0],0
[ 0  1  0  1  0 -1  0  0  0],0
[ 0  1  0  0  1 -1  0  0  0],-3.4519165569900006
[ 0  1  0  0  0 -1  1  0  0],-3.270007528005429
[ 0  1  0  0  0 -1  0  1  0],3.4867844010000004
[ 0  1  0  0  0 -1  0  0  1],-0.25418404096707176
[ 1  1  1  0  0 -1 -1  0  0],8.91
[ 1  1  0  1  0 -1 -1  0  0],0
[ 1  1  0  0  1 -1 -1  0  0],5.3144100000000005
[ 1  1  0  0  0 -1 -1  1  0],0
[ 1  1  0  0  0 -1 -1  0  1],0
[ 1  1  0  0  0 -1 -1  0  0],6.561
[ 0  1  0  0  0 -1  0  0  0],4.4899741188851845
[ 0  1  1  0  0  0 -1  0  0],6.0292500236519295
[ 0  1  0  1  0  0 -1  0  0],-4.898785299400801
[ 0  1  0  0  1  0 -1  0  0],-5.3144100000000005
[ 0  1  0  0  0  1 -1  0  0],-4.965731559900001
[ 0  1  0  0  0  0 -1  1  0],-5.3144100000000005
[ 0  1  0  0  0  0 -1  0  1],-4.968270883862502
[-1  1  1  1  0  0 -1  0  0],-6.342424155990001
[-1  1  1  0  1  0 -1  0  0],-8.1
[-1  1  1  0  0  1 -1  0  0],4.152213368802001
[-1  1  1  0  0  0 -1  1  0],-8.1
[-1  1  1  0  0  0 -1  0  1],-8.1
[-1  1  1  1 -1  1 -1  0  0],-7.5685590000000005
[-1  1  1  1 -1  0 -1  1  0],-8.1
[-1  1  1  1 -1  0 -1  0  1],-0.0637729199999999
[-1  1  1  1 -1  1 -1 -1  1],8.991
[-1  1  1  1 -1  1 -1 -1  0],6.561
[-1  1  1  1 -1  0 -1  0  0],4.3046721
[-1  1  1  0  0  0 -1  0  0],2.7795220052745595
[ 0  1  0  0  0  0 -1  0  0],4.99611913486693
[ 1  1  0  0  0  0  0 -1  0],-3.4867844010000004
[ 0  1  1  0  0  0  0 -1  0],-3.4867844010000004
[ 0  1  0  1  0  0  0 -1  0],-0.47829690000000014
[ 0  1  0  0  1  0  0 -1  0],-3.3890847020839807
[ 0  1  0  0  0  1  0 -1  0],-3.4867844010000004
[ 0  1  0  0  0  0  1 -1  0],-3.9833443122409875
[ 0  1  0  0  0  0  0 -1  1],-3.5559677454108085
[ 1  1 -1  1  0  0  0 -1  0],-5.3144100000000005
[ 1  1 -1  0  1  0  0 -1  0],4.729824900000001
[ 1  1 -1  0  0  1  0 -1  0],-0.3835462841100001
[ 1  1 -1  0  0  0  1 -1  0],-0.38703306851100006
[ 1  1 -1  0  0  0  0 -1  1],-5.056995391389002
[ 1  1 -1  1 -1  1  0 -1  0],-8.1
[ 1  1 -1  1 -1  0  1 -1  0],8.991
[ 1  1 -1  1 -1  0  0 -1  1],-7.5685590000000005
[ 1  1 -1  1 -1  0  0 -1  0],6.561
[ 1  1 -1  0  0  0  0 -1  0],2.82429536481
[ 0  1  0  0  0  0  0 -1  0],-0.43046721000000016
[-1  0  1  1  0  0  0  0  0],-4.939442375716174
[-1  0  1  0  1  0  0  0  0],-4.965731559900001
[-1  0  1  0  0  1  0  0  0],-3.4867844010000004
[-1  0  1  0  0  0  1  0  0],-3.4867844010000004
